100 100 6.64 100 100 100 100
100 1 100 1 100 1 100
100 100 100 100 100 1 1
100 100 1 100 100 100 1
100 100 1 100 1 100 1
100 100 1 100 100 1 1
100 100 1 1 1 1 1
200 200 7.64 200 200 200 200
200 1 200 1 200 1 200
200 200 200 200 200 1 1
200 200 1 200 200 200 1
200 200 1 200 1 200 1
200 200 1 200 200 1 1
200 200 1 1 1 1 1
300 300 8.23 300 300 300 300
300 1 300 1 300 1 300
300 300 300 300 300 1 1
300 300 1 300 300 300 1
300 300 1 300 1 300 1
300 300 1 300 300 1 1
300 300 1 1 1 1 1
400 400 8.64 400 400 400 400
400 1 400 1 400 1 400
400 400 400 400 400 1 1
400 400 1 400 400 400 1
400 400 1 400 1 400 1
400 400 1 400 400 1 1
400 400 1 1 1 1 1
500 500 8.97 500 500 500 500
500 1 500 1 500 1 500
500 500 500 500 500 1 1
500 500 1 500 500 500 1
500 500 1 500 1 500 1
500 500 1 500 500 1 1
500 500 1 1 1 1 1
600 600 9.23 600 600 600 600
600 1 600 1 600 1 600
600 600 600 600 600 1 1
600 600 1 600 600 600 1
600 600 1 600 1 600 1
600 600 1 600 600 1 1
600 600 1 1 1 1 1
700 700 9.45 700 700 700 700
700 1 700 1 700 1 700
700 700 700 700 700 1 1
700 700 1 700 700 700 1
700 700 1 700 1 700 1
700 700 1 700 700 1 1
700 700 1 1 1 1 1
800 800 9.64 800 800 800 800
800 1 800 1 800 1 800
800 800 800 800 800 1 1
800 800 1 800 800 800 1
800 800 1 800 1 800 1
800 800 1 800 800 1 1
800 800 1 1 1 1 1
900 900 9.81 900 900 900 900
900 1 900 1 900 1 900
900 900 900 900 900 1 1
900 900 1 900 900 900 1
900 900 1 900 1 900 1
900 900 1 900 900 1 1
900 900 1 1 1 1 1
1000 1000 9.97 1000 1000 1000 1000
1000 1 1000 1 1000 1 1000
1000 1000 1000 1000 1000 1 1
1000 1000 1 1000 1000 1000 1
1000 1000 1 1000 1 1000 1
1000 1000 1 1000 1000 1 1
1000 1000 1 1 1 1 1
1100 1100 10.10 1100 1100 1100 1100
1100 1 1100 1 1100 1 1100
1100 1100 1100 1100 1100 1 1
1100 1100 1 1100 1100 1100 1
1100 1100 1 1100 1 1100 1
1100 1100 1 1100 1100 1 1
1100 1100 1 1 1 1 1
1200 1200 10.23 1200 1200 1200 1200
1200 1 1200 1 1200 1 1200
1200 1200 1200 1200 1200 1 1
1200 1200 1 1200 1200 1200 1
1200 1200 1 1200 1 1200 1
1200 1200 1 1200 1200 1 1
1200 1200 1 1 1 1 1
1300 1300 10.34 1300 1300 1300 1300
1300 1 1300 1 1300 1 1300
1300 1300 1300 1300 1300 1 1
1300 1300 1 1300 1300 1300 1
1300 1300 1 1300 1 1300 1
1300 1300 1 1300 1300 1 1
1300 1300 1 1 1 1 1
1400 1400 10.45 1400 1400 1400 1400
1400 1 1400 1 1400 1 1400
1400 1400 1400 1400 1400 1 1
1400 1400 1 1400 1400 1400 1
1400 1400 1 1400 1 1400 1
1400 1400 1 1400 1400 1 1
1400 1400 1 1 1 1 1
1500 1500 10.55 1500 1500 1500 1500
1500 1 1500 1 1500 1 1500
1500 1500 1500 1500 1500 1 1
1500 1500 1 1500 1500 1500 1
1500 1500 1 1500 1 1500 1
1500 1500 1 1500 1500 1 1
1500 1500 1 1 1 1 1
1600 1600 10.64 1600 1600 1600 1600
1600 1 1600 1 1600 1 1600
1600 1600 1600 1600 1600 1 1
1600 1600 1 1600 1600 1600 1
1600 1600 1 1600 1 1600 1
1600 1600 1 1600 1600 1 1
1600 1600 1 1 1 1 1
1700 1700 10.73 1700 1700 1700 1700
1700 1 1700 1 1700 1 1700
1700 1700 1700 1700 1700 1 1
1700 1700 1 1700 1700 1700 1
1700 1700 1 1700 1 1700 1
1700 1700 1 1700 1700 1 1
1700 1700 1 1 1 1 1
1800 1800 10.81 1800 1800 1800 1800
1800 1 1800 1 1800 1 1800
1800 1800 1800 1800 1800 1 1
1800 1800 1 1800 1800 1800 1
1800 1800 1 1800 1 1800 1
1800 1800 1 1800 1800 1 1
1800 1800 1 1 1 1 1
1900 1900 10.89 1900 1900 1900 1900
1900 1 1900 1 1900 1 1900
